datetime,pps,avg_price,shares,unrealized_pnl,realized_pnl,total_pnl,market_value,pnl_rate,daily_pnl,dividend_pnl
2021-03-10 00:00:00,1.0000,1.0000,100000.0000,0.0000,0.0000,0.0000,100000.0000,0.0000,0.0000,0.0000
2021-03-11 00:00:00,1.0104,1.0000,100000.0000,1040.0000,0.0000,1040.0000,101040.0000,0.0104,1040.0000,0.0000
2021-03-12 00:00:00,1.0472,1.0000,100000.0000,4720.0000,0.0000,4720.0000,104720.0000,0.0472,3680.0000,0.0000
2021-03-13 00:00:00,1.0367,1.0000,100000.0000,3670.0000,0.0000,3670.0000,103670.0000,0.0367,-1050.0000,0.0000
2021-03-14 00:00:00,1.1119,1.0000,100000.0000,11190.0000,0.0000,11190.0000,111190.0000,0.1119,7520.0000,0.0000
2021-03-15 00:00:00,1.0683,1.0000,100000.0000,6830.0000,0.0000,6830.0000,106830.0000,0.0683,-4360.0000,0.0000
2021-03-16 00:00:00,1.0003,1.0000,100000.0000,30.0000,0.0000,30.0000,100030.0000,0.0003,-6800.0000,0.0000
2021-03-17 00:00:00,1.0277,1.0000,100000.0000,2770.0000,0.0000,2770.0000,102770.0000,0.0277,2740.0000,0.0000
2021-03-18 00:00:00,1.0709,1.0000,100000.0000,7090.0000,0.0000,7090.0000,107090.0000,0.0709,4320.0000,0.0000
2021-03-19 00:00:00,1.0415,1.0000,100000.0000,4150.0000,0.0000,4150.0000,104150.0000,0.0415,-2940.0000,0.0000
2021-03-20 00:00:00,1.0512,1.0000,100000.0000,5120.0000,0.0000,5120.0000,105120.0000,0.0512,970.0000,0.0000
2021-03-21 00:00:00,1.0522,1.0000,100000.0000,5220.0000,0.0000,5220.0000,105220.0000,0.0522,100.0000,0.0000
2021-03-22 00:00:00,1.0352,1.0000,100000.0000,3520.0000,0.0000,3520.0000,103520.0000,0.0352,-1700.0000,0.0000
2021-03-23 00:00:00,1.0010,1.0000,100000.0000,100.0000,0.0000,100.0000,100100.0000,0.0010,-3420.0000,0.0000
2021-03-24 00:00:00,1.0028,1.0000,100000.0000,280.0000,0.0000,280.0000,100280.0000,0.0028,180.0000,0.0000
2021-03-25 00:00:00,0.9847,1.0000,100000.0000,-1530.0000,0.0000,-1530.0000,98470.0000,-0.0153,-1810.0000,0.0000
2021-03-26 00:00:00,0.9762,1.0000,100000.0000,-2380.0000,0.0000,-2380.0000,97620.0000,-0.0238,-850.0000,0.0000
2021-03-27 00:00:00,1.0062,1.0000,100000.0000,620.0000,0.0000,620.0000,100620.0000,0.0062,3000.0000,0.0000
2021-03-28 00:00:00,1.0113,1.0000,100000.0000,1130.0000,0.0000,1130.0000,101130.0000,0.0113,510.0000,0.0000
2021-03-28 23:00:00,1.0100,1.0000,100000.0000,1000.0000,0.0000,1000.0000,101000.0000,0.0100,-130.0000,0.0000
